iter	RMSE
618	3009.210342
619	3008.127431
620	3007.207238
621	3006.712606
622	3005.367046
623	3004.055646
624	3003.60127
625	3002.009779
626	3001.752522
627	3000.423424
628	2999.250736
629	2998.29324
630	2997.897713
631	2997.39411
632	2996.028486
633	2994.029566
634	2993.096495
635	2990.413052
636	2987.207451
637	2985.863519
638	2984.501348
639	2982.804815
640	2982.391555
641	2980.901207
642	2978.693269
643	2976.999237
644	2973.815149
645	2972.322542
646	2969.275207
647	2966.184305
648	2965.45081
649	2964.266044
650	2961.591496
651	2959.514845
652	2956.907127
653	2954.393529
654	2953.349734
655	2952.677495
656	2952.170396
657	2950.888667
658	2949.72086
659	2947.268826
660	2945.811334
661	2944.667208
662	2943.702176
663	2942.287639
664	2941.395153
665	2940.294357
666	2939.040121
667	2938.033303
668	2937.561423
669	2936.484129
670	2936.211095
671	2933.658832
672	2932.313069
673	2931.076986
674	2928.626508
675	2927.424775
676	2926.495465
677	2925.519106
678	2924.153744
679	2922.961186
680	2921.234793
681	2920.81109
682	2919.238488
683	2917.9886
684	2916.497226
685	2915.399997
686	2914.368698
687	2911.748568
688	2910.750102
689	2909.887566
690	2907.696214
691	2907.184344
692	2903.757464
693	2903.603134
694	2902.276183
695	2901.60912
696	2900.08452
697	2899.823606
698	2898.339687
699	2897.319582
700	2896.092788
701	2895.229265
702	2894.505609
703	2893.779551
704	2891.725733
705	2889.000474
706	2886.952639
707	2886.117505
708	2885.845197
709	2885.045556
710	2882.342419
711	2880.101652
712	2878.848692
713	2878.297714
714	2877.928092
715	2875.502801
716	2874.866315
717	2873.715965
718	2872.600056
719	2871.268704
720	2870.095095
721	2867.095389
722	2865.741326
723	2864.883162
724	2862.203239
725	2861.58122
726	2859.673978
727	2857.241138
728	2856.620462
729	2854.763964
730	2852.435809
731	2850.360301
732	2848.946542
733	2847.044763
734	2846.226319
735	2843.436291
736	2841.817853
737	2840.02126
738	2839.15872
739	2838.007329
740	2834.905431
741	2832.972111
742	2832.063532
743	2828.625231
744	2826.084293
745	2825.29417
746	2823.484989
747	2822.716492
748	2820.047273
749	2819.283245
750	2818.68378
751	2817.993776
752	2817.355465
753	2814.79252
754	2813.106701
755	2812.42226
756	2811.10864
757	2809.668772
758	2809.150415
759	2807.078896
760	2806.272206
761	2804.990391
762	2802.94155
763	2802.408688
764	2801.124236
765	2799.440108
766	2798.084586
767	2796.408965
768	2794.004377
769	2792.971144
770	2791.421635
771	2790.87303
772	2790.130289
773	2789.32915
774	2789.039803
775	2788.882651
776	2787.39862
777	2786.068064
778	2784.536519
779	2783.301391
780	2781.549576
781	2781.014358
782	2778.671281
783	2776.998214
784	2775.772029
785	2773.699696
786	2772.273074
787	2771.477308
788	2770.118826
789	2769.824362
790	2767.438255
791	2766.278642
792	2764.918001
793	2763.78595
794	2762.832296
795	2761.119347
796	2760.030153
797	2759.01661
798	2757.831681
799	2755.953545
800	2754.590681
801	2753.537082
802	2753.277994
803	2752.290211
804	2750.241122
805	2747.9553
806	2745.517282
807	2744.451395
808	2743.251916
809	2742.683652
810	2741.238678
811	2739.304273
812	2736.955212
813	2736.357198
814	2735.798708
815	2733.618725
816	2731.793619
817	2731.061766
818	2730.857996
819	2730.131767
820	2727.596631
821	2726.012828
822	2724.994264
823	2722.144323
824	2721.858433
825	2720.23632
826	2718.37566
827	2718.065442
828	2717.330753
829	2716.125806
830	2715.373519
831	2713.578581
832	2711.592976
833	2710.818047
834	2710.24727
835	2709.144216
836	2708.279811
837	2706.18229
838	2705.818587
839	2704.89549
840	2704.360488
841	2702.550208
842	2702.278986
